sigma,mAP,Rank-1,Rank-5,Rank-10
0.0,0.6669208100656485,0.79423987865448,0.9328978657722473,0.955463171005249
0.05,0.5462335904737514,0.7013064026832581,0.9064726829528809,0.9421021342277527
0.1,0.21532995070913324,0.3800475001335144,0.7155581712722778,0.820071280002594
0.2,0.01823024933853514,0.04572446644306183,0.14578384160995483,0.2327791005373001
0.3,0.004353438636496702,0.006828978657722473,0.03295724466443062,0.05641330033540726
