epoch,loss,active_frac
1,0.47705260178317194,0.9996603260869565
2,0.4383556285630102,0.9989809782608695
3,0.3786440679560537,0.9765625
4,0.32382838751958765,0.9324048913043478
5,0.2645700467021569,0.8627717391304348
6,0.20906700922743135,0.772078804347826
7,0.1689635036594194,0.678328804347826
8,0.1517550771974999,0.6246603260869565
9,0.14466324642948483,0.6226222826086957
10,0.12563197638677515,0.5669157608695652
11,0.12106589074044125,0.5557065217391305
12,0.10551641330770824,0.5203804347826086
13,0.10669225300459759,0.4935461956521739
14,0.09092314363173816,0.47316576086956524
15,0.09884404929597741,0.47758152173913043
16,0.0952092449626197,0.44735054347826086
17,0.0851295727264622,0.4320652173913043
18,0.08538738204895155,0.44972826086956524
19,0.0830563563529564,0.4266304347826087
20,0.07751757795315074,0.4038722826086957
21,0.08510826762927615,0.430366847826087
22,0.07611919785647289,0.40421195652173914
23,0.0753444867492046,0.39096467391304346
24,0.07950677957547747,0.40828804347826086
25,0.07653143688145539,0.4201766304347826
26,0.07404199048228886,0.4045516304347826
27,0.0583878369273051,0.3345788043478261
28,0.05801037794141018,0.34001358695652173
29,0.053228528866463384,0.3172554347826087
30,0.04455388527687477,0.2781929347826087
31,0.03970366331708172,0.2516983695652174
32,0.035976511183316295,0.23607336956521738
33,0.040779923817709736,0.24932065217391305
34,0.04161505913361907,0.2523777173913043
35,0.042803845591033285,0.26902173913043476
36,0.036165251639550144,0.2190896739130435
37,0.03295163862893115,0.22452445652173914
38,0.03181756810163674,0.22010869565217392
39,0.032267936343408146,0.22452445652173914
40,0.031711376515095646,0.20991847826086957
41,0.03574634043742781,0.22452445652173914
42,0.033702409664249935,0.23980978260869565
43,0.026225034370208563,0.18512228260869565
44,0.026416830495809732,0.19904891304347827
45,0.027616175721682932,0.19599184782608695
46,0.030463170391790893,0.20176630434782608
47,0.02209805867270283,0.17391304347826086
48,0.03153005258544632,0.20584239130434784
49,0.02550285354094661,0.18036684782608695
50,0.02710603643208742,0.18512228260869565
51,0.03137960329489863,0.19904891304347827
52,0.03011748237211419,0.1953125
53,0.03130926550163523,0.2109375
54,0.027307491101648495,0.2078804347826087
55,0.025193866787721283,0.1871603260869565
56,0.023910965750236875,0.18070652173913043
57,0.023603288517536028,0.1715353260869565
58,0.030514532740673294,0.20074728260869565
59,0.022619153069251257,0.17051630434782608
60,0.024110159897447928,0.1722146739130435
